"Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Common_name"
"Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Mustela putorius","Mustela putorius furo","Ferret"
"Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","Lissachatina","Lissachatina fulica","","Giant african snail"
"Animalia","Arthropoda","Insecta","Lepidoptera","Plutellidae","Plutella","Plutella xylostella","","Diamondback moth"
"Animalia","Arthropoda","Insecta","Hemiptera","Aleyrodidae","Trialeurodes","Trialeurodes vaporariorum","","Greenhouse whitefly"
"Animalia","Mollusca","Bivalvia","Myida","Teredinidae","Teredo","Teredo navalis","","Common shipworm"
"Animalia","Mollusca","Bivalvia","Myida","Dreissenidae","Dreissena","Dreissena rostriformis","","Quagga mussel"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana","","Pampa grass"
"Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Faxonius","Faxonius limosus","","Cranc de canals"
"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum subulatum","","Ajenjo de china"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana","","Pampas grass"
"Animalia","Arthropoda","Insecta","Hemiptera","Dactylopiidae","Dactylopius","Dactylopius opuntiae","",NA
"Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","Lissachatina","Lissachatina fulica","","Giant African land snail"
"Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","Casuarina","Casuarina equisetifolia ",""," beach casuarina"
"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Neustanthus","Neustanthus phaseoloides",""," tropical kudzu"
"Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","Lissachatina","Lissachatina fulica","","giant African snail"
"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","Undaria pinnatifida","","Japanese kelp"
"Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","Coptodon","Coptodon zillii","","Redbreast tilapia"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana","","Pampas-grass"
"Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae","Humulus","Humulus scandens","","Japanese hop"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Paspalum","Paspalum vaginatum","",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Faxonius","Faxonius limosus","",NA
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana","",NA
"Viruses","Cressdnaviricota","Arfiviricetes","Mulpavirales","Nanoviridae","Babuvirus","Banana bunchy top virus","",NA
"Animalia","Arthropoda","Insecta","Hemiptera","Delphacidae","Nilaparvata","Nilaparvata lugens","","brown planthopper"
"Animalia","Arthropoda","Insecta","Coleoptera","Brentidae","Cylas","Cylas formicarius","","Sweet potato weevil"
"Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","Lissachatina","Lissachatina fulica","","Giant African snail"
"Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus vulgaris","","Eurasian squirrel"
"Animalia","Chordata","Reptilia","Squamata","Colubridae","Elaphe","Elaphe taeniura","","Taiwan beauty snake"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas oryzae","","水稻细菌性条斑病"
"Chromista","Oomycota","Peronosporea","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora megasperma","","大豆疫霉"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas campestris","","木薯细菌性枯萎病"
"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Secoviridae","Nepovirus","Tobacco ringspot virus","","烟草环斑病毒病"
"Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","Lissachatina","Lissachatina fulica","","非洲大蜗牛"
"Animalia","Arthropoda","Insecta","Hemiptera","Phylloxeridae","Daktulosphaira","Daktulosphaira vitifoliae","","葡萄根瘤蚜"
"Diverse/Unspecified","Diverse/Unspecified","Diverse/Unspecified","Diverse/Unspecified","Diverse/Unspecified","Diverse/Unspecified","Red tide","","赤潮, Red tide"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Candidatus","Candidatus liberibacter","","Huanglongbing disease (HLB)"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xylella","Xylella fastidiosa","","Pierce’s disease"
"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Neustanthus","Neustanthus phaseoloides","","tropical kudzu"
"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex strigosa","","Carex strigosa"
"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Sciuripoxvirus","Squirrelpox virus","","Squirrelpox virus"
"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Cascabela","Cascabela thevetia","","Yellow oleander"
"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","Undaria pinnatifida","","Wakame"
"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Orthoavulavirus","Avian orthoavulavirus 1","","Exotic Newcastle Diseases"
"Chromista","Oomycota","Peronosporea","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora ramorum","",NA
"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Biancaea","Biancaea decapetala","","Thorny poinciana/Mysore thorn/Mubage/Mauritius thorn/Cat's claw"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas axonopodis","","Citrus canker"
"Chromista","Oomycota","Peronosporea","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora ramorum","","Sudden Oak Death"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas axonopodis","","Citrus canker, Citrus bacterial canker"
"Animalia","Mollusca","Bivalvia","Myida","Teredinidae","Teredo","Teredo navalis","","shipworm"
"Viruses",NA,NA,NA,NA,NA,"Maize lethal necrosis","","Maize lethal necrosis"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas","Aeromonas salmonicida","",NA
"Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","Amphibalanus","Amphibalanus improvisus","","bay barnacle"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana","","pampas grass"
"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Neustanthus","Neustanthus phaseoloides","",NA
"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","Mesembryanthemum","Mesembryanthemum crystallinum","","crystalline iceplant "
"Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","Coptodon","Coptodon zillii","","redbelly tilapia"
"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Magallana","Magallana gigas",""," Pacific giant oyster"
"Viruses",NA,NA,NA,"Baculoviridae","Whispovirus","WSSV",""," white stain syndrome Baculovirus (WSSV)"
"Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Branchiomma","Branchiomma bairdi","","feather duster worm, sea flower"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Hyparrhenia","Hyparrhenia rufa",""," jaragua"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Melinis","Melinis repens","","Rose Natal grass"
"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus eremicus","","Mouse"
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","","domestic cattle"
"Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","Cissus","Cissus verticillata","","season vine"
"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","Dicentra","Dicentra peregrina","","コマクサ"
"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Sphagneticola","Sphagneticola trilobata","","Creeping daisy"
"Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Poecilia","Poecilia reticulata","","Gppy"
"Animalia","Platyhelminthes","Tricladida","Turbellaria","Rhynchodemidae","Platydemus","Platydemus manokwari","","New Guinea flatworm"
"Animalia","Arthropoda","Insecta","Coleoptera","Dynastidae","Oryctes","Oryctes rhinoceros","","Coconut Rhinoceros Beetle"
"Animalia","Nematoda","Chromadorea","Rhabditida","Heteroderidae","Globodera","Globodera pallida","","white potato cyst nematode"
"Animalia","Arthropoda","Insecta","Coleoptera","Brentidae","Cylas","Cylas formicarius","","Sweetpotato weevil"
"Animalia","Nematoda","Chromadorea","Rhabditida","Heteroderidae","Globodera","Globodera rostochiensis","","yellow potato cyst nematode"
"Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Rousettus","Rousettus aegyptiacus","","Egypcian bat"
"Animalia","Arthropoda","Insecta","Blattodea","Rhinotermitidae","Reticulitermes","Reticulitermes flavipes","",NA
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana","","Plumero de la pampa"
"Animalia","Arthropoda","Branchiopoda","Anostraca","Artemiidae","Artemia","Artemia franciscana","",NA
"Animalia","Arthropoda","Arachnida","Araneae","Dysderidae","Dysdera","Dysdera crocata","",NA
"Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Atlantoxerus","Atlantoxerus getulus","",NA
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Phalaris","Phalaris minor","","Small Canary Grass"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Hypothenemus","Hypothenemus hampei","","Coffee Borer Beetle"
"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes camptorhynchus","","southern saltmarsh mosquito"
"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia paradoxa","","Kangaroo thorn"
"Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","Otala","Otala punctata","",NA
"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Brontispa","Brontispa longissima","","Coconut hispine beetle"
"Animalia","Arthropoda","Arachnida","Trombidiformes","Penthaleidae","Penthaleus","Penthaleus major","","blue oat mite"
"Animalia","Arthropoda","Collembola","Symphypleona","Dicyrtomidae","Dicyrtomina","Dicyrtomina ornata","Sminthurus viridis","lucerne flea"
"Animalia","Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","","Spotted lanternfly"
"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","Phyla","Phyla nodiflora","","frog fruit"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Gonipterus","Gonipterus platensis","","Eucalyptus snout beetle"
"Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Sabella","Sabella spallanzanii","","Feather duster worm"
"Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus aureogaster","","Mexican gray squirrel"
"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris brassicae","","large white butterfly"
"Animalia","Nematoda","Chromadorea","Rhabditida","Neotylenchidae","Deladenus","Deladenus siricidicola","","Sirex"
"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","Rhamnus","Rhamnus cathartica","","Common buckthorn"
"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Alliaria","Alliaria petiolata","","Garlic mustard"
"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","Frangula","Frangula alnus","","Glossy buckthorn"
"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Tanacetum","Tanacetum vulgare","","Common tansy"
"Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Pastinaca","Pastinaca sativa","","Wild parsnip/Pastinaca sativa"
"Animalia","Arthropoda","Insecta","Diptera","Cecidomyiidae","Mayetiola","Mayetiola destructor","","Hessian fly"
"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Oulema","Oulema melanopus","","Cereal leaf beatle/Oulema melanopus"
"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Oulema","Oulema melanopus","","Cereal leaf beatle"
"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","Ligustrum sinense","","Chinese privet"
"Animalia","Chordata","Mammalia","Perissodactyla","Equidae","Equus","Equus ferus","","Horse"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Brachiaria","Brachiaria eruciformis","","Sweet summer grass"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Chloris","Chloris virgata","","Feathertop Rhodes grass"
"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Brassica","Brassica tournefortii","","Wild turnip"
"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Sonchus","Sonchus oleraceus","","Sow thistle / milk thistle"
"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus","Raphanus raphanistrum","","Wild radish"
"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Sisymbrium","Sisymbrium officinale","","Wild mustard"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Lolium","Lolium rigidum","","Ryegrass"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Echinochloa","Echinochloa glabrescens","","Barnyard grass"
"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Fallopia","Fallopia convolvulus","","Black bindweed / climbing buckwheat"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Phalaris","Phalaris aquatica","","Phalaris"
"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex","Rumex hypogaeus","","Doublegee"
"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Resedaceae","Reseda","Reseda lutea","","Cutleaf mignonette"
"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Lactuca","Lactuca serriola","","Prickly lettuce / whip thistle"
"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Diplotaxis","Diplotaxis tenuifolia","","Lincoln weed"
"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Polygonum","Polygonum aviculare","","Wireweed"
"Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","Erodium","Erodium cicutarium","","Wild geranium / storksbill"
"Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Juncus","Juncus bufonius","","Toadrush"
"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Malva","Malva parviflora","","Marshmallow"
"Plantae","Tracheophyta","Magnoliopsida","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris","","Caltrop / bindi"
"Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","Ipomoea","Ipomoea biflora","","Bellvine"
"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus mitchellii","","Boggabri weed"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Chloris","Chloris truncata","","Windmill grass"
"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Salvia","Salvia reflexa","","Mint weed"
"Plantae","Tracheophyta","Magnoliopsida","Boraginales","Heliotropiaceae","Heliotropium","Heliotropium europaeum","","Heliotrope / potato weed"
"Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","Pelargonium","Pelargonium alchemilloides","","Geranium"
"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Lactuca","Lactuca serriola","","Whip thistle / prickly lettuce"
"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus","Cyperus rotundus","","Nut grass"
"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria media","","Chickweed"
"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Lamium","Lamium maculatum","","Deadnettle"
"Animalia","Arthropoda","Insecta","Diptera","Tephritidae","Bactrocera","Bactrocera tryoni","","Queensland fruit fly"
"Animalia","Arthropoda","Insecta","Hemiptera","Margarodidae","Marchalina","Marchalina hellenica","","Giant pine scale"
"Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Phyllostictaceae","Phyllosticta","Phyllosticta cavendishii","","Banana freckle"
"Fungi","Ascomycota","Sordariomycetes","Diaporthales","Cryphonectriaceae","Cryphonectria","Cryphonectria parasitica","","Chestnut blight"
"Animalia","Arthropoda","Insecta","Hemiptera","Triozidae","Bactericera","Bactericera cockerelli","","Tomato potato psyllid"
"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lepisiota","Lepisiota frauenfeldi","","Browsing ant"
"Animalia","Arthropoda","Insecta","Hymenoptera","Eumenidae","Polistes","Polistes olivaceus","","Macao paper wasp"
"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Striga","Striga asiatica","","Red witchweed"
"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vachellia","Vachellia nilotica","","prickly acacia"
"Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Asparagus","Asparagus asparagoides","","bridal creeper"
"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Carduus","Carduus platypus","","nodding thistle"
"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Osteospermum","Osteospermum moniliferum","","(boneseed/bitou bush"
"Plantae","Tracheophyta","Magnoliopsida","Boraginales","Heliotropiaceae","Heliotropium","Heliotropium europaeum","","common heliotrope"
"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","Hypericum","Hypericum perforatum","","St Johnís wort"
"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Marrubium","Marrubium vulgare","","horehound"
"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa diplotricha","","giant sensitive plant"
"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus fruticosus","","blackberry"
"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio","Senecio madagascariensis","","fireweed"
"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Senna","Senna obtusifolia","","sicklepod"
"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Xanthium","Xanthium chinense","","Noogoora burr"
"Animalia","Arthropoda","Insecta","Hemiptera","Phylloxeridae","Daktulosphaira","Daktulosphaira vitifoliae","","Grape phylloxera"
"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Phelipanche","Phelipanche ramosa","","Branched broomrape"
"Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","Ulmus","Ulmus parvifolia","","Chinese Elm"
"Animalia","Mollusca","Bivalvia","Myida","Dreissenidae","Mytilopsis","Mytilopsis sallei","","Black striped mussel"
"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Phelipanche","Phelipanche aegyptiaca","","Branched broomrape"
"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Monomorium","Monomorium destructor","","Singapore ant"
"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lepisiota","Lepisiota frauenfeldi","","Browsing ant/T"
"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Monomorium","Monomorium pharaonis","","Pharaoh ant"
"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Acromyrmex","Acromyrmex octospinosus","",NA
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Cercopagidae","Cercopagis","Cercopagis pengoi","","Fish-hook waterflea"
"Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","","American lobster"
"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Magallana","Magallana gigas","","Pacific giant oyster"
"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Tinca","Tinca tinca","","doctor fish"
"Animalia","Chordata","Mammalia","Primates","Cercopithecidae","Chlorocebus","Chlorocebus pygerythrus","","vervet monkey"
"Animalia","Chordata","Mammalia","Erinaceomorpha","Erinaceidae","Erinaceus","Erinaceus europaeus","","European hedgehog"
"Animalia","Arthropoda","Insecta","Hymenoptera","Vespidae","Vespula","Vespula vulgaris","","Common wasp"
"Animalia","Arthropoda","Insecta","Blattodea","Rhinotermitidae","Coptotermes","Coptotermes acinaciformis","","Australian subterranean termite"
"Animalia","Arthropoda","Insecta","Blattodea","Rhinotermitidae","Coptotermes","Coptotermes gestroi","","Asian subterranean termite"
"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","Cryptotermes brevis","","West Indian drywood termite"
"Animalia","Arthropoda","Insecta","Blattodea","Kalotermitidae","Cryptotermes","Cryptotermes dudleyi","","Drywood termite"
"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","Reticulitermes flavipes","","Eastern subterranean termite"
"Animalia","Arthropoda","Insecta","Blattodea","Rhinotermitidae","Reticulitermes","Reticulitermes grassei","","Western european termite"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Erwinia","Erwinia amylovora","","Fire blight of Pomaceae"
"Ortharnavirae","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","Plum pox virus","","Sharka Disease"
