code,net_give_take,trade_give_take,trade_pc,spp_pc,Continent
ABW,-36.89828981,-142289.32,0.427927928,0.626126126,NAm
AFG,-662.4984123,-2807615.344,0.283783784,0.103603604,AS
AGO,-94.50690242,-72435106.29,0.076576577,0.563063063,AF
AIA,-1.150325972,-2350.72,0.581081081,0.842342342,NAm
ALB,-721.6207359,1898783.78,0.738738739,0.094594595,EUR
AND,-172.0661223,-48301.618,0.495495495,0.414414414,EUR
ARE,-1.251196114,-209582271.4,0.027027027,0.824324324,AS
ARG,-1456.31779,-64249106.25,0.085585586,0.04954955,SA
ARM,-205.629781,-1229087.969,0.351351351,0.378378378,EUR
ATG,-37.78712376,679387.869,0.693693694,0.612612613,NAm
AUS,1652.989763,-1231771987,0,0.977477477,OC
AUT,-468.6752702,4887709.798,0.792792793,0.144144144,EUR
AZE,-293.3101393,-37710964.34,0.117117117,0.256756757,AS
BDI,-266.5423387,-105335.389,0.445945946,0.315315315,AF
BEL,-446.1917139,138717306.1,0.968468468,0.153153153,EUR
BEN,200.4822255,5093256.829,0.810810811,0.945945946,AF
BES,-0.05243155,-188667.277,0.400900901,0.90990991,NAm
BFA,-96.68950536,-1592932.011,0.346846847,0.540540541,AF
BGD,-248.8107877,-8805232.063,0.207207207,0.36036036,AS
BGR,-416.1471763,1711740.131,0.734234234,0.166666667,EUR
BHR,-0.033447895,-8398668.07,0.216216216,0.914414414,AS
BHS,-31.34335951,-4010440.664,0.256756757,0.635135135,NAm
BIH,-419.1769284,912359.968,0.702702703,0.162162162,EUR
BLR,-432.8003589,-3944948.934,0.261261261,0.157657658,EUR
BLZ,149.2928406,458272.309,0.684684685,0.936936937,NAm
BMU,-7.181476812,-101218.962,0.454954955,0.743243243,NAm
BOL,-1639.981615,-10369466.64,0.184684685,0.036036036,SA
BRA,-2875.846819,-436876626.7,0.009009009,0.013513514,SA
BRB,-263.7690652,-185609.726,0.405405405,0.333333333,NAm
BRN,-66.18266708,-7002501.824,0.234234234,0.603603604,AS
BTN,-75.15333713,-2593370.99,0.297297297,0.59009009,AS
BWA,-906.813355,-943340.178,0.36036036,0.067567568,AF
CAF,-4.024269906,-115309.503,0.441441441,0.783783784,AS
CAN,9784.869586,-299947568.2,0.022522523,0.995495495,NAm
CCK,-0.278918505,-342.869,0.594594595,0.873873874,OC
CHE,-196.814678,31235632.89,0.914414414,0.387387387,EUR
CHL,-116.2197091,12106199.62,0.86036036,0.468468468,NAm
CHN,-273795.5538,2357400303,1,0,AS
CIV,-94.94615783,3510997.143,0.765765766,0.554054054,AF
CMR,-102.3911232,-1929243.792,0.337837838,0.504504505,AF
COD,-405.4000873,2967010.094,0.752252252,0.175675676,AF
COG,-93.74837917,-12031811.24,0.166666667,0.567567568,AF
COK,-0.278918505,-4267.296,0.567567568,0.873873874,OC
COL,1010.21585,-78637149.36,0.058558559,0.972972973,SA
COM,-0.001682415,-37817.733,0.518018018,0.923423423,AF
CPV,-1.196376683,-39730.408,0.509009009,0.828828829,AF
CRI,-335.7745318,-8260371.131,0.220720721,0.211711712,NAm
CUB,-293.3908595,3367667.573,0.756756757,0.252252252,NAm
CUW,-20.02216447,-140153.781,0.432432432,0.684684685,NAm
CXR,-9.58412388,-101291.69,0.45045045,0.72972973,AS
CYM,-33.63134567,-58331.039,0.477477477,0.630630631,NAm
CYP,-195.2142491,9495910.063,0.842342342,0.391891892,EUR
CZE,-249.8509095,-8537651.672,0.211711712,0.355855856,EUR
DEU,-150.9724885,327081777.3,0.986486486,0.432432432,EUR
DJI,-2.66639257,-54937.159,0.481981982,0.806306306,AF
DMA,-37.94666296,-69979.437,0.468468468,0.608108108,NAm
DNK,-141.8662848,20806489.37,0.891891892,0.441441441,EUR
DOM,-264.0014221,-2072979.19,0.328828829,0.324324324,NAm
DZA,-306.3934455,-73461201.42,0.067567568,0.216216216,AF
ECU,-81.64401334,-11617758.81,0.171171171,0.581081081,SA
EGY,-22.73725973,-49853848.39,0.099099099,0.662162162,AS
ERI,-137.5193445,0,0.603603604,0.445945946,AF
ESH,-3.787001048,0,0.603603604,0.797297297,AF
ESP,-600.1244192,107189546.9,0.959459459,0.121621622,EUR
EST,-378.92273,1314390.657,0.711711712,0.184684685,EUR
ETH,-410.2908332,3408714.448,0.761261261,0.171171171,AF
FIN,-136.172183,16998602.62,0.869369369,0.454954955,EUR
FJI,-1.330293249,-1003617.16,0.355855856,0.81981982,AS
FRA,212.7400508,98734645.66,0.954954955,0.95045045,EUR
FRO,-9.596051054,0,0.603603604,0.725225225,EUR
FSM,-1.165873254,-85939.015,0.463963964,0.833333333,OC
GAB,-100.0990171,-16010063.16,0.153153153,0.518018018,AF
GBR,900.4570002,130220356.4,0.963963964,0.968468468,EUR
GEO,-294.8494914,-2079089.218,0.324324324,0.243243243,AS
GGY,-0.032925511,0,0.603603604,0.918918919,EUR
GHA,-2250.283169,1383036.941,0.716216216,0.018018018,AF
GIB,-85.50328725,-53855.951,0.486486486,0.576576577,EUR
GIN,-98.78891605,-58209365.36,0.09009009,0.522522523,AF
GLP,-282.6989239,0,0.603603604,0.288288288,NAm
GMB,-5.180553572,-253392.5,0.387387387,0.761261261,AS
GNB,-3.29137515,-160490.623,0.414414414,0.801801802,AF
GNQ,-6.868424171,-10677812.9,0.18018018,0.747747748,AF
GRC,-697.5116891,25042213.69,0.900900901,0.099099099,EUR
GRD,-257.0005329,281627.334,0.68018018,0.346846847,NAm
GRL,-10.02738391,-237848.027,0.391891892,0.716216216,NAm
GTM,-108.192023,10465823.94,0.851351351,0.481981982,NAm
GUF,-290.1900457,0,0.603603604,0.274774775,SA
GUM,-0.278918505,-1496.043,0.59009009,0.873873874,OC
GUY,-292.7392003,-3128156.283,0.279279279,0.261261261,SA
HND,-301.7049347,-3770656.834,0.265765766,0.234234234,NAm
HRV,-459.626067,6693975.798,0.81981982,0.148648649,EUR
HTI,-264.1072568,-124799.942,0.436936937,0.31981982,NAm
HUN,401.0447069,10161436.4,0.846846847,0.963963964,EUR
IDN,-613.2264166,-414869510.9,0.013513514,0.117117117,AS
IMN,-104.1526433,0,0.603603604,0.5,EUR
IND,-23028.97716,638686490.7,0.995495495,0.004504505,AS
IRL,-149.0050186,24767298.15,0.896396396,0.436936937,EUR
IRN,-493.714672,-54756700.62,0.094594595,0.13963964,AS
IRQ,-125.9794305,-178299726.3,0.036036036,0.459459459,AS
ISL,-12.17412796,-2629793.413,0.292792793,0.711711712,EUR
ISR,-19.0340063,-14406654.49,0.157657658,0.693693694,AS
ITA,-290.7803602,197390554.7,0.981981982,0.27027027,EUR
JAM,-273.1331246,-5983352.925,0.243243243,0.306306306,NAm
JEY,-0.073943833,0,0.603603604,0.905405405,EUR
JOR,-81.208956,-9143440.134,0.202702703,0.585585586,AS
JPN,-886.4797016,613008552.3,0.990990991,0.072072072,AS
KAZ,-303.3759382,-143866975.9,0.045045045,0.225225225,AS
KEN,-1052.595773,17407413.84,0.878378378,0.058558559,AF
KGZ,-169.8755527,-759918.335,0.364864865,0.418918919,AS
KHM,-174.7535369,18567616.38,0.887387387,0.400900901,AS
KIR,-0.419142363,-52374.055,0.490990991,0.869369369,NAm
KNA,-37.77886845,-21366.366,0.531531532,0.617117117,NAm
KOR,-1791.566395,-179847139,0.031531532,0.022522523,AS
KWT,-20.59402328,-82906717.74,0.054054054,0.68018018,AS
LAO,-270.7017303,-2060062.385,0.333333333,0.310810811,AS
LBN,-109.6938559,-684034.704,0.373873874,0.477477477,AS
LBR,-104.3777931,-5151025.758,0.247747748,0.495495495,AF
LBY,-255.8306765,-40784651.09,0.108108108,0.351351351,AS
LCA,-282.6935491,-90755.434,0.459459459,0.292792793,NAm
LIE,-9.793308892,0,0.603603604,0.720720721,EUR
LKA,-247.3083187,13816994.27,0.864864865,0.364864865,AS
LSO,-3.990327861,-7122379.603,0.22972973,0.788288288,AF
LTU,-352.5979599,4205772.984,0.788288288,0.198198198,EUR
LUX,-172.3371304,-9897269.319,0.198198198,0.40990991,EUR
LVA,-353.027712,-22822891.79,0.144144144,0.193693694,EUR
MAR,-263.5754865,-32987762.02,0.121621622,0.337837838,AF
MCO,-110.0642745,0,0.603603604,0.472972973,EUR
MDA,-187.0415106,1118378.206,0.707207207,0.396396396,EUR
MDG,-70.64252757,4980931.27,0.797297297,0.594594595,AF
MDV,-2.402463963,-148943.391,0.423423423,0.810810811,AS
MEX,-3722.327834,47540556.85,0.927927928,0.009009009,NAm
MHL,-0.698060868,-526707.158,0.378378378,0.855855856,NAm
MKD,-547.0849883,3520916.474,0.77027027,0.135135135,EUR
MLI,-95.73487702,5022268.578,0.801801802,0.54954955,AF
MLT,-15.57130238,17402260.6,0.873873874,0.702702703,EUR
MMR,-67.8652947,-16160097.4,0.148648649,0.599099099,AS
MNE,-553.0737515,1535204.505,0.72972973,0.130630631,EUR
MNG,-870.3799346,-48616663.68,0.103603604,0.081081081,AS
MOZ,-96.83293963,-3639822.271,0.27027027,0.536036036,AF
MRT,-8.345920371,-25206277.9,0.13963964,0.734234234,NAm
MSR,-18.03515138,-68994.269,0.472972973,0.698198198,NAm
MTQ,-262.9205191,0,0.603603604,0.342342342,NAm
MUS,-7.531307563,3734822.941,0.774774775,0.738738739,AF
MWI,117.462407,1406870.256,0.725225225,0.932432432,AF
MYS,-118.6030939,6197005.871,0.815315315,0.463963964,AS
NAM,-94.89478794,-2791961.348,0.288288288,0.558558559,AF
NCL,-22.09571875,-4072404.554,0.252252252,0.666666667,OC
NER,-96.37407557,1405700.885,0.720720721,0.545045045,AF
NFK,-6.264493488,-2731.966,0.576576577,0.756756757,OC
NGA,-97.15939899,-75254624.98,0.063063063,0.531531532,AF
NIC,-302.3088561,3995006.191,0.779279279,0.22972973,NAm
NLD,-357.2334078,188882765.3,0.977477477,0.189189189,EUR
NOR,-21.57614607,-177607816.4,0.040540541,0.671171171,EUR
NPL,-221.2083104,-721666.175,0.369369369,0.369369369,AS
NZL,1738.610695,-10169201.05,0.193693694,0.981981982,OC
OMN,-3.8300269,-73111559.31,0.072072072,0.792792793,AS
PAK,-158.8788935,52718646.19,0.932432432,0.427927928,AS
PAN,-282.4310158,30427381.08,0.90990991,0.301801802,NAm
PCN,-0.278918505,-323.952,0.599099099,0.873873874,OC
PER,-871.4405201,-11400877.96,0.175675676,0.076576577,SA
PHL,2235.160656,53208384.76,0.936936937,0.990990991,AS
PLW,-0.278918505,-4374.693,0.563063063,0.873873874,OC
PNG,-339.2727148,-13618155.53,0.162162162,0.207207207,OC
POL,-587.431004,46271692.19,0.918918919,0.126126126,EUR
PRI,-295.5687252,0,0.603603604,0.238738739,NAm
PRK,-1750.023467,-209966.705,0.396396396,0.031531532,AS
PRT,155.5928461,27542108.73,0.905405405,0.941441441,EUR
PRY,-1625.970125,-6888942.935,0.238738739,0.040540541,SA
PSE,-26.58464892,-10165.775,0.545045045,0.63963964,AS
PYF,-1.165873254,-22931.364,0.527027027,0.833333333,OC
QAT,-1.124093603,-129873869.1,0.04954955,0.846846847,AS
ROU,-784.6551263,17890568.86,0.882882883,0.09009009,EUR
RUS,-1010.416301,-724318989.7,0.004504505,0.063063063,EUR
RWA,-174.0175208,1968452.886,0.747747748,0.405405405,AF
SAU,-25.89503786,-370871522.4,0.018018018,0.648648649,AS
SDN,-104.8883333,-1707220.373,0.342342342,0.490990991,AF
SEN,-98.25768643,8176285.926,0.833333333,0.527027027,AF
SGP,-25.71086901,142341544.1,0.972972973,0.653153153,AS
SJM,-0.431332857,0,0.603603604,0.864864865,NAm
SLB,-304.8413011,-3293901.932,0.274774775,0.220720721,AS
SLE,-101.2241875,-2431090.315,0.301801802,0.509009009,AF
SLV,-37.36242221,-2304986.541,0.315315315,0.621621622,NAm
SMR,-100.8084353,-19380.645,0.536036036,0.513513514,EUR
SOM,-5.042665277,-44596.709,0.504504505,0.765765766,AS
SPM,-6.363699024,-2185.482,0.585585586,0.752252252,NAm
SRB,28.13727256,5032291.53,0.806306306,0.927927928,EUR
STP,-0.886954749,-2779.733,0.572072072,0.851351351,AF
SUR,-289.6569258,4049407.237,0.783783784,0.279279279,SA
SVK,-203.0182064,11454340.56,0.855855856,0.382882883,EUR
SVN,-614.4811582,7142506.23,0.824324324,0.112612613,EUR
SWE,-21.24053779,164887.178,0.671171171,0.675675676,EUR
SWZ,-4.288088872,-2402866.716,0.306306306,0.774774775,AF
SXM,-20.02216447,-8028.582,0.54954955,0.684684685,NAm
SYC,-1.704599002,274666.888,0.675675676,0.815315315,AS
SYR,-107.571325,-321271.895,0.382882883,0.486486486,AS
TCA,-23.50154138,-6168.079,0.558558559,0.657657658,NAm
TCD,-4.194588814,-2190317.792,0.31981982,0.779279279,AS
TGO,-92.52455922,8852503.747,0.837837838,0.572072072,AF
THA,324.0514494,70076028.19,0.941441441,0.954954955,AS
TJK,-25.99135464,-181673.211,0.40990991,0.644144144,AS
TKM,-290.9769325,-26263489.24,0.135135135,0.265765766,AS
TLS,-15.10002636,730164.336,0.698198198,0.707207207,AS
TON,-0.278918505,-6518.789,0.554054054,0.873873874,OC
TTO,-293.8290425,-29994721.28,0.126126126,0.247747748,NAm
TUN,-283.3106513,-10170642.75,0.189189189,0.283783784,AF
TUR,-1785.284449,96869885.19,0.95045045,0.027027027,EUR
TZA,-861.1055068,7813716.423,0.828828829,0.085585586,AF
UGA,-638.1558179,1962354.126,0.743243243,0.108108108,AF
UKR,-391.8748717,-64748055.32,0.081081081,0.18018018,EUR
URY,-1618.935233,132552.039,0.666666667,0.045045045,SA
USA,334647.2756,46875450.87,0.923423423,1,NAm
UZB,-207.0564906,-8027406.364,0.225225225,0.373873874,AS
VCT,-282.601464,-37876.435,0.513513514,0.297297297,NAm
VEN,-349.0627788,-38822603.03,0.112612613,0.202702703,SA
VGB,-4.55674993,-16661.933,0.540540541,0.77027027,OC
VIR,-263.7713852,0,0.603603604,0.328828829,NAm
VNM,332.1494531,95479371.92,0.945945946,0.959459459,AS
VUT,-0.278918505,-47102.696,0.5,0.873873874,OC
WSM,-0.610619475,-22966.509,0.522522523,0.86036036,OC
YEM,-162.3209125,-2330577.809,0.310810811,0.423423423,AS
ZAF,1964.381718,-26641846.07,0.130630631,0.986486486,AF
ZMB,-137.49256,-155684.55,0.418918919,0.45045045,AF
ZWE,-1317.07568,500505.9,0.689189189,0.054054054,AF